Const,Your Rating,Date Rated,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt11564570,6,2023-01-31,Glass Onion,https://www.imdb.com/title/tt11564570/,movie,7.2,139,2022,"Comedy, Crime, Drama, Mystery, Thriller",342752,2022-09-13,Rian Johnson
tt1190634,7,2023-02-15,The Boys,https://www.imdb.com/title/tt1190634/,tvSeries,8.7,60,2019,"Action, Comedy, Crime, Drama, Sci-Fi",529286,2019-07-16,
tt12427090,8,2023-02-21,Iron Butterflies,https://www.imdb.com/title/tt12427090/,movie,6.8,84,2023,Documentary,36,2023-01-22,Roman Liubyi
tt12593682,4,2022-12-26,Bullet Train,https://www.imdb.com/title/tt12593682/,movie,7.3,127,2022,"Action, Comedy, Thriller",301414,2022-07-18,David Leitch
tt13320622,6,2023-02-15,The Lost City,https://www.imdb.com/title/tt13320622/,movie,6.1,112,2022,"Action, Adventure, Comedy, Romance",128297,2022-03-12,"Adam Nee, Aaron Nee"
tt13443470,8,2023-01-31,Wednesday,https://www.imdb.com/title/tt13443470/,tvSeries,8.2,45,2022,"Comedy, Crime, Fantasy, Mystery",279087,2022-10-31,
tt14813150,5,2023-02-21,Manodrome,https://www.imdb.com/title/tt14813150/,movie,6.0,95,2023,"Drama, Thriller",138,2023-02-18,John Trengove
tt1630029,7,2023-01-28,Avatar: The Way of Water,https://www.imdb.com/title/tt1630029/,movie,7.8,192,2022,"Action, Adventure, Fantasy, Sci-Fi",303200,2022-12-06,James Cameron
tt20356188,7,2022-11-16,One Day in Ukraine,https://www.imdb.com/title/tt20356188/,movie,7.5,77,2022,"Documentary, Drama, War",41,2022-06-24,Volodymyr Tykhyy
tt21817836,8,2023-02-23,Hello Dankness,https://www.imdb.com/title/tt21817836/,movie,6.8,70,2022,"Comedy, Horror, Music, Musical",9,2022-10-18,Soda Jerk
tt2381249,7,2023-02-19,Mission: Impossible - Rogue Nation,https://www.imdb.com/title/tt2381249/,movie,7.4,131,2015,"Action, Adventure, Thriller",379259,2015-07-23,Christopher McQuarrie
tt26443107,8,2023-02-19,The Adults,https://www.imdb.com/title/tt26443107/,movie,7.4,88,2023,"Comedy, Drama",35,2023-02-18,Dustin Guy Defa
tt4995790,7,2023-01-31,The Square,https://www.imdb.com/title/tt4995790/,movie,7.1,151,2017,"Comedy, Drama",69972,2017-05-20,Ruben Östlund
tt6710474,7,2023-01-31,Everything Everywhere All at Once,https://www.imdb.com/title/tt6710474/,movie,8.0,139,2022,"Action, Adventure, Comedy, Fantasy, Sci-Fi",335638,2022-03-11,"Dan Kwan, Daniel Scheinert"
tt7322224,7,2022-11-29,Triangle of Sadness,https://www.imdb.com/title/tt7322224/,movie,7.4,147,2022,"Comedy, Drama",87034,2022-05-21,Ruben Östlund
tt9114286,3,2023-02-15,Black Panther: Wakanda Forever,https://www.imdb.com/title/tt9114286/,movie,6.8,161,2022,"Action, Adventure, Drama, Fantasy, Sci-Fi, Thriller",220951,2022-11-09,Ryan Coogler
tt9686790,5,2023-02-15,Shotgun Wedding,https://www.imdb.com/title/tt9686790/,movie,5.4,100,2022,"Action, Comedy, Romance",24206,2022-12-28,Jason Moore
