id,imdb_id,name_eng,rating,rating_date,release_year,link
1,,District 9,10,2009-09-09,2009,https://www.kinopoisk.ru/film/397494/
2,,X-Men Origins: Wolverine,9,2009-09-09,2009,https://www.kinopoisk.ru/film/104904/
3,,Up,10,2009-09-09,2009,https://www.kinopoisk.ru/film/325381/
4,,Coraline,8,2009-09-09,2008,https://www.kinopoisk.ru/film/49166/
5,,Star Trek,9,2009-09-09,2009,https://www.kinopoisk.ru/film/255129/
6,,Knowing,9,2009-09-09,2009,https://www.kinopoisk.ru/film/102510/
7,,Election Day,8,2009-09-09,2007,https://www.kinopoisk.ru/film/309408/
8,,The Pink Panther 2,8,2009-09-09,2009,https://www.kinopoisk.ru/film/259475/
9,,Yes Man,9,2009-09-09,2008,https://www.kinopoisk.ru/film/391772/
10,,WALL·E,10,2009-09-09,2008,https://www.kinopoisk.ru/film/279102/
11,,Flushed Away,6,2009-09-09,2006,https://www.kinopoisk.ru/film/83792/
12,,Shrek,8,2009-09-09,2001,https://www.kinopoisk.ru/film/430/
13,,Shrek 2,9,2009-09-09,2004,https://www.kinopoisk.ru/film/5273/
14,,Kung Fu Panda,9,2009-09-09,2008,https://www.kinopoisk.ru/film/103734/
15,,The Incredibles,7,2009-09-09,2004,https://www.kinopoisk.ru/film/38903/
16,,Scary Movie,2,2009-09-09,2000,https://www.kinopoisk.ru/film/5932/
17,,Kill Bill: Vol. 1,9,2009-09-09,2003,https://www.kinopoisk.ru/film/2717/
18,,Kill Bill: Vol. 2,9,2009-09-09,2004,https://www.kinopoisk.ru/film/47015/
19,,Harry Potter and the Half-Blood Prince,8,2009-09-09,2009,https://www.kinopoisk.ru/film/89515/
20,,Forrest Gump,9,2009-09-09,1994,https://www.kinopoisk.ru/film/448/
21,,Slumdog Millionaire,10,2009-09-09,2008,https://www.kinopoisk.ru/film/413362/
22,,Gamer,8,2009-09-13,2009,https://www.kinopoisk.ru/film/325393/
23,,Crank,7,2009-09-13,2006,https://www.kinopoisk.ru/film/180609/
24,,Surrogates,6,2009-09-26,2009,https://www.kinopoisk.ru/film/397671/
25,,Transformers: Revenge of the Fallen,10,2009-10-02,2009,https://www.kinopoisk.ru/film/373391/
26,,Zombieland,10,2009-10-10,2009,https://www.kinopoisk.ru/film/427122/
27,,Cloudy with a Chance of Meatballs,9,2009-10-25,2009,https://www.kinopoisk.ru/film/276363/
28,,Liar Liar,9,2009-10-26,1997,https://www.kinopoisk.ru/film/1721/
29,,Bruce Almighty,8,2009-10-26,2003,https://www.kinopoisk.ru/film/39577/
30,,Click,9,2009-10-26,2006,https://www.kinopoisk.ru/film/77576/
31,,Evan Almighty,9,2009-10-26,2007,https://www.kinopoisk.ru/film/103791/
32,,The Dark Knight,10,2009-11-07,2008,https://www.kinopoisk.ru/film/111543/
33,,2012,10,2009-11-14,2009,https://www.kinopoisk.ru/film/413447/
34,,Ninja Assassin,9,2009-12-06,2009,https://www.kinopoisk.ru/film/406353/
35,,The Final Destination,9,2009-12-13,2009,https://www.kinopoisk.ru/film/405753/
36,,Horsemen,6,2009-12-18,2008,https://www.kinopoisk.ru/film/271835/
37,,Avatar,10,2009-12-20,2009,https://www.kinopoisk.ru/film/251733/
38,,Pirates of the Caribbean: The Curse of the Black Pearl,9,2009-12-23,2003,https://www.kinopoisk.ru/film/4374/
39,,Madagascar,8,2009-12-23,2005,https://www.kinopoisk.ru/film/6006/
40,,Van Helsing,8,2009-12-23,2004,https://www.kinopoisk.ru/film/3491/
41,,Taxi,8,2009-12-27,1998,https://www.kinopoisk.ru/film/14349/
42,,Taxi 2,8,2009-12-27,2000,https://www.kinopoisk.ru/film/854/
43,,Taxi 3,8,2009-12-27,2003,https://www.kinopoisk.ru/film/14339/
44,,Taxi 4,8,2009-12-27,2007,https://www.kinopoisk.ru/film/258478/
45,,Black Lightning,7,2009-12-28,2009,https://www.kinopoisk.ru/film/439906/
46,,Sherlock Holmes,9,2010-01-03,2009,https://www.kinopoisk.ru/film/420923/
47,,South Park: Bigger Longer &amp; Uncut,9,2010-01-10,1999,https://www.kinopoisk.ru/film/2407/
48,,Samyy luchshiy film 2,5,2010-01-24,2009,https://www.kinopoisk.ru/film/416089/
49,,Samyy luchshiy film,4,2010-01-24,2007,https://www.kinopoisk.ru/film/277385/
50,,Nasha Russia. Yaytsa sudby,7,2010-01-24,2010,https://www.kinopoisk.ru/film/416090/
51,,The Wolfman,7,2010-02-22,2010,https://www.kinopoisk.ru/film/273293/
52,,Step Up,8,2010-03-04,2006,https://www.kinopoisk.ru/film/167491/
53,,Step Up 2: The Streets,8,2010-03-04,2008,https://www.kinopoisk.ru/film/310960/
54,,Up in the Air,9,2010-03-09,2009,https://www.kinopoisk.ru/film/464130/
55,,The Men Who Stare at Goats,7,2010-03-12,2009,https://www.kinopoisk.ru/film/427170/
56,,What Men Talk About,9,2010-03-14,2010,https://www.kinopoisk.ru/film/468102/
57,,The Hurt Locker,10,2010-03-27,2008,https://www.kinopoisk.ru/film/281040/
58,,How I Ended This Summer,8,2010-04-05,2010,https://www.kinopoisk.ru/film/419453/
59,,Kick-Ass,10,2010-04-11,2010,https://www.kinopoisk.ru/film/419200/
60,,Hooked,8,2010-04-18,2009,https://www.kinopoisk.ru/film/424516/
61,,Hooked 2: Next Level,8,2010-04-18,2010,https://www.kinopoisk.ru/film/451258/
62,,Dark Planet,5,2010-04-18,2008,https://www.kinopoisk.ru/film/257774/
63,,Dark Planet: Rebellion,6,2010-04-18,2009,https://www.kinopoisk.ru/film/374715/
64,,Iron Man 2,9,2010-04-29,2010,https://www.kinopoisk.ru/film/411924/
65,,Shrek Forever After,8,2010-05-20,2010,https://www.kinopoisk.ru/film/271806/
66,,Shrek the Third,8,2010-05-20,2007,https://www.kinopoisk.ru/film/84020/
67,,0:10,10,2010-05-25,2009,""
68,,Prince of Persia: The Sands of Time,8,2010-05-28,2010,https://www.kinopoisk.ru/film/195394/
69,,Alice in Wonderland,5,2010-06-02,2010,https://www.kinopoisk.ru/film/405609/
70,,Old Dogs,7,2010-06-02,2009,https://www.kinopoisk.ru/film/281006/
71,,Toy Story 3,9,2010-06-19,2010,https://www.kinopoisk.ru/film/258328/
72,,Happy Feet,4,2010-06-25,2006,https://www.kinopoisk.ru/film/61359/
73,,Surf's Up,9,2010-06-26,2007,https://www.kinopoisk.ru/film/84485/
74,,Inception,10,2010-07-29,2010,https://www.kinopoisk.ru/film/447301/
75,,The Expendables,8,2010-08-11,2010,https://www.kinopoisk.ru/film/432550/
76,,Inglourious Basterds,10,2010-08-15,2009,https://www.kinopoisk.ru/film/9691/
77,,Machete,9,2010-09-04,2010,https://www.kinopoisk.ru/film/467553/
78,,The American,5,2010-09-05,2010,https://www.kinopoisk.ru/film/485083/
79,,The Edge,5,2010-09-24,2010,https://www.kinopoisk.ru/film/460432/
80,,Buried,10,2010-10-17,2010,https://www.kinopoisk.ru/film/470656/
81,,The Town,6,2010-10-22,2010,https://www.kinopoisk.ru/film/462732/
82,,The Social Network,7,2010-11-01,2010,https://www.kinopoisk.ru/film/427198/
83,,Fortress of War,9,2010-11-06,2010,https://www.kinopoisk.ru/film/436263/
84,,Tron,8,2010-12-28,2010,https://www.kinopoisk.ru/film/399959/
85,,The Duchess,7,2010-12-29,2008,https://www.kinopoisk.ru/film/393872/
86,,Never Back Down,9,2011-01-23,2008,https://www.kinopoisk.ru/film/311268/
87,,Super 8,9,2011-06-16,2011,https://www.kinopoisk.ru/film/517433/
88,,Chatroom,7,2011-06-17,2010,https://www.kinopoisk.ru/film/433210/
89,,Green Lantern,5,2011-06-22,2011,https://www.kinopoisk.ru/film/406294/
90,,Megamind,10,2011-06-26,2010,https://www.kinopoisk.ru/film/405608/
91,,Transformers: Dark of the Moon,7,2011-07-14,2011,https://www.kinopoisk.ru/film/452899/
92,,The Joneses,9,2011-07-14,2010,https://www.kinopoisk.ru/film/424579/
93,,G-Force,3,2011-07-29,2009,https://www.kinopoisk.ru/film/88202/
94,,Rio,9,2011-07-29,2011,https://www.kinopoisk.ru/film/465674/
95,,Requiem for a Dream,9,2011-10-09,2000,https://www.kinopoisk.ru/film/367/
96,,Real Steel,8,2011-10-09,2011,https://www.kinopoisk.ru/film/88198/
97,,Johnny English Reborn,7,2011-10-09,2011,https://www.kinopoisk.ru/film/507676/
98,,30 Minutes or Less,8,2011-10-09,2011,https://www.kinopoisk.ru/film/506133/
99,,The Three Musketeers,5,2011-10-19,2011,https://www.kinopoisk.ru/film/474752/
100,,What Else Men Talk About,8,2012-01-02,2011,https://www.kinopoisk.ru/film/502733/
101,,Enemy at the Gates,9,2012-02-26,2001,https://www.kinopoisk.ru/film/659/
102,,The Hunger Games,8,2012-03-24,2012,https://www.kinopoisk.ru/film/468581/
103,,The Avengers,9,2012-05-01,2012,https://www.kinopoisk.ru/film/263531/
104,,The Terminator,8,2012-06-10,1984,https://www.kinopoisk.ru/film/507/
105,,Terminator 2: Judgment Day,9,2012-06-10,1991,https://www.kinopoisk.ru/film/444/
106,,The Dictator,8,2012-06-13,2012,https://www.kinopoisk.ru/film/518040/
107,,The Amazing Spider-Man,6,2012-07-09,2012,https://www.kinopoisk.ru/film/278217/
108,,The Dark Knight Rises,9,2012-07-28,2012,https://www.kinopoisk.ru/film/437410/
109,,Ted,9,2012-08-02,2012,https://www.kinopoisk.ru/film/507817/
110,,Total Recall,5,2012-08-10,2012,https://www.kinopoisk.ru/film/453374/
111,,The Expendables 2,8,2012-08-25,2012,https://www.kinopoisk.ru/film/571288/
112,,Dredd,8,2012-09-29,2012,https://www.kinopoisk.ru/film/437678/
113,,The Cabin in the Woods,7,2012-09-30,2011,https://www.kinopoisk.ru/film/419209/
114,,Hit and Run,5,2012-09-30,2012,https://www.kinopoisk.ru/film/645029/
115,,Mamma Mia!,4,2012-09-30,2008,https://www.kinopoisk.ru/film/276478/
116,,Project X,8,2012-10-14,2012,https://www.kinopoisk.ru/film/507440/
117,,Taken 2,6,2012-10-20,2012,https://www.kinopoisk.ru/film/453544/
118,,Horrible Bosses,8,2012-10-21,2011,https://www.kinopoisk.ru/film/471628/
119,,21 Jump Street,9,2012-10-26,2012,https://www.kinopoisk.ru/film/413080/
